,r2
789,0.6522678304444395
790,0.6786973801885103
791,0.6904050310002118
792,0.6512466666176917
793,0.6754955051904042
794,0.653109025937243
795,0.6658291395128186
796,0.6849872746520684
797,0.6695773276921582
798,0.6696294195919001
799,0.6433190951663109
800,0.6384006192681595
801,0.65836103101754
802,0.6816840547563323
803,0.6712960724237544
804,0.6638175870179904
805,0.6457230993473095
806,0.6739772454692108
807,0.665830032054342
808,0.657766482169027
809,0.6677496266091567
810,0.6648659331913587
811,0.6575582718912887
812,0.6567982121141072
813,0.670077284804369
814,0.6559003759784691
815,0.6828392914887353
816,0.6606286111826513
817,0.6719269015503191
818,0.6748848135420737
819,0.6480391250548408
820,0.6691014185834676
821,0.6677725177205004
822,0.672404037728682
823,0.6581456674804849
824,0.673600061282877
825,0.6571903896104693
826,0.6606294048681935
827,0.6755777003001997
828,0.6924018101375485
829,0.6699615391447793
830,0.6720629044798884
831,0.6658764382745728
832,0.6544393028071246
833,0.6730894146446482
834,0.6666273490303931
835,0.6701419970598801
836,0.6848529790718569
837,0.6604522168826192
838,0.6629614531922167
839,0.6717847488955285
840,0.6734860966615872
841,0.6601011423532583
842,0.6500022313358108
843,0.6712895700370729
844,0.6725999822005397
845,0.6611044333427736
846,0.6652925899420914
847,0.6596464446824686
848,0.6759496939954401
849,0.6465772149567379
850,0.6522870850738152
851,0.6776619228420822
852,0.6556119771985679
853,0.6684014883755705
854,0.6696788714940087
855,0.6686235955445389
856,0.6635213113495002
857,0.6739781602599808
858,0.6766090797576878
859,0.6456654171371405
860,0.669653879985399
861,0.6783482003992396
862,0.6703335955983701
863,0.6642960927072976
864,0.6761726955222096
865,0.6729928086092574
866,0.6652424814379536
867,0.6721861945165347
868,0.659194495342821
869,0.6583909260207188
870,0.6544662944070085
871,0.6610164706442315
872,0.6839212523046223
873,0.6731466597961583
874,0.6456670625309482
875,0.671756116257197
876,0.6497035379100918
877,0.6649558105151143
878,0.6465826268591807
879,0.6643212370360643
880,0.6429801223607413
881,0.6500261439736352
882,0.6646471700193183
